published_at,day_of_week,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-03-06 11:30:31,0,127432,978.996259,98.61877642857144,14.50417957142857,0.3335954971428571,0.18502843,42033,1850106,220,687,1005,31.42857142857143,98.14285714285714,143.57142857142858,channel_6g,Sunday
2022-01-04 20:00:09,2,1535540,10.9055346,84.11532088888889,12.519761555555556,0.3735420133333333,0.24752231,573360,19232074,716,1357,35974,79.55555555555556,150.77777777777777,3997.1111111111113,channel_4r,Tuesday
2022-01-11 20:00:49,2,1186728,5.385212599999999,88.55225877777778,13.669145722222222,0.3567138822222222,0.20348485,423139,16223627,1814,2004,25241,201.5555555555556,222.66666666666663,2804.555555555556,channel_4r,Tuesday
2022-01-18 20:00:06,2,231002,19.811469199999998,79.73076988888887,14.802608555555556,0.3172888311111111,0.1951021,74082,3429409,346,696,2327,38.44444444444444,77.33333333333334,258.5555555555556,channel_4r,Tuesday
2022-01-25 20:00:51,2,852695,1267.3610438,82.2287305,16.0241125,0.30278533625,0.2775433,261361,13707743,1233,1829,11240,154.12500000000003,228.62500000000003,1405.0,channel_4r,Tuesday
2022-02-01 20:06:22,2,2272343,6777.9413856,97.97369,13.23253192857143,0.3540916457142857,0.19694263,815417,30289618,633,2816,60063,90.42857142857144,402.2857142857143,8580.42857142857,channel_4r,Tuesday
2022-02-08 20:00:06,2,291852,753.3357350000002,94.28548171428572,14.759670428571429,0.4100820242857143,0.22828636,118756,4270445,170,602,5605,24.28571428571429,86.0,800.7142857142857,channel_4r,Tuesday
2022-02-15 20:00:57,2,550028,1957.0079978000003,88.82329428571428,13.405931714285714,0.2691333071428571,0.24789836,157588,7601044,1124,1490,19507,160.57142857142858,212.8571428571429,2786.714285714286,channel_4r,Tuesday
2022-02-22 20:00:54,2,204193,608.3875444,102.95636285714284,15.325906142857145,0.3996273542857143,0.23047705,82389,3129008,242,626,3222,34.57142857142858,89.42857142857144,460.2857142857143,channel_4r,Tuesday
2022-03-01 20:00:20,2,729498,1321.0308324,102.909043,16.363383714285714,0.5043417242857143,0.27676466,345158,11477127,251,1438,17437,35.857142857142854,205.42857142857144,2491.0,channel_4r,Tuesday
2022-03-08 15:00:38,2,1463605,3602.2632622,79.91813057142858,11.909069428571428,0.20958357,0.23393753,302963,17290866,3756,6063,44354,536.5714285714286,866.1428571428572,6336.285714285715,channel_4r,Tuesday
2022-01-02 20:00:39,0,3890164,5376.34738245,99.7703172857143,13.480004571428571,0.4371364885714285,0.21461649,1678273,52007854,834,8209,31020,119.14285714285715,1172.714285714286,4431.428571428572,channel_3s,Sunday
2022-01-05 20:00:32,3,2236109,4205.22080085,96.29488857142856,14.272514,0.3593303685714286,0.21728441,796005,31766673,3641,6843,17406,520.1428571428571,977.5714285714286,2486.5714285714294,channel_3s,Wednesday
2022-01-09 20:00:52,0,12033495,7606.3186239,71.1476007142857,10.088480714285712,0.3063298814285714,0.29506475,3228414,112713519,165945,24431,147154,23706.42857142857,3490.1428571428573,21022.000000000004,channel_3s,Sunday
2022-01-12 20:00:13,3,2201928,3917.0916008999993,95.37080914285715,13.333312285714284,0.4525643771428571,0.22953397,1017343,29756622,652,6050,17357,93.14285714285714,864.2857142857142,2479.5714285714284,channel_3s,Wednesday
2022-01-16 20:00:12,0,2165456,4733.959021649999,109.44786228571428,15.409825142857144,0.4472315228571428,0.23167871,969051,33441300,3819,7258,18547,545.5714285714287,1036.857142857143,2649.5714285714284,channel_3s,Sunday
2022-01-19 20:00:32,3,1398677,3725.12542515,119.488375,16.213707874999997,0.40498087125,0.22359031,587935,23392031,2295,9381,10489,286.875,1172.625,1311.125,channel_3s,Wednesday
2022-01-23 20:00:59,0,7302588,11680.435783949999,85.59003,11.698527222222223,0.26486354,0.29556662,1871553,83862694,13820,32438,133714,1535.5555555555557,3604.222222222222,14857.111111111111,channel_3s,Sunday
2022-01-26 20:00:28,3,1609515,4075.6000643999996,104.1517657142857,14.724630285714284,0.2607060285714285,0.18092954,438382,24359169,2449,4895,7619,349.8571428571429,699.2857142857143,1088.428571428571,channel_3s,Wednesday
